date,time,value
2024-03-16,21:25:52,82.0
2024-03-16,21:25:53,83.0
2024-03-16,21:25:53,84.0
2024-03-16,21:25:54,85.0
2024-03-16,21:25:56,82.0
2024-03-16,21:25:57,80.0
2024-03-16,21:25:58,81.0
2024-03-16,21:25:58,83.0
2024-03-16,21:25:59,81.0
2024-03-16,21:26:00,78.0
2024-03-16,21:26:01,75.0
2024-03-16,21:26:02,74.0
2024-03-16,21:26:03,73.0
2024-03-16,21:26:05,72.0
2024-03-16,21:26:06,71.0
2024-03-16,21:26:10,70.0
2024-03-16,21:26:11,69.0
2024-03-16,21:26:11,68.0
2024-03-16,21:26:13,69.0
2024-03-16,21:26:18,70.0
2024-03-16,21:26:21,71.0
2024-03-16,21:26:21,70.0
2024-03-16,21:26:22,72.0
2024-03-16,21:26:23,73.0
2024-03-16,21:26:24,71.0
2024-03-16,21:26:27,73.0
2024-03-16,21:26:27,74.0
2024-03-16,21:26:29,73.0
2024-03-16,21:26:30,74.0
2024-03-16,21:26:31,70.0
2024-03-16,21:26:33,71.0
2024-03-16,21:26:34,72.0
2024-03-16,21:26:36,70.0
2024-03-16,21:26:38,69.0
2024-03-16,21:26:39,68.0
2024-03-16,21:26:40,70.0
2024-03-16,21:26:41,71.0
2024-03-16,21:26:42,70.0
2024-03-16,21:26:43,71.0
2024-03-16,21:26:46,70.0
2024-03-16,21:26:47,71.0
2024-03-16,21:26:47,72.0
2024-03-16,21:26:49,71.0
2024-03-16,21:26:52,72.0
2024-03-16,21:26:54,74.0
2024-03-16,21:26:55,75.0
2024-03-16,21:26:56,73.0
2024-03-16,21:26:57,72.0
2024-03-16,21:26:57,73.0
2024-03-16,21:26:58,74.0
2024-03-16,21:27:00,75.0
2024-03-16,21:27:01,76.0
2024-03-16,21:27:03,75.0
2024-03-16,21:27:04,76.0
2024-03-16,21:27:05,78.0
2024-03-16,21:27:07,77.0
2024-03-16,21:27:09,74.0
2024-03-16,21:27:10,72.0
2024-03-16,21:27:11,71.0
2024-03-16,21:27:12,72.0
2024-03-16,21:27:14,71.0
2024-03-16,21:27:17,69.0
2024-03-16,21:27:20,70.0
2024-03-16,21:27:20,69.0
2024-03-16,21:27:21,68.0
2024-03-16,21:27:22,67.0
2024-03-16,21:27:23,68.0
2024-03-16,21:27:25,67.0
2024-03-16,21:27:26,69.0
2024-03-16,21:27:28,70.0
2024-03-16,21:27:29,72.0
2024-03-16,21:27:31,71.0
2024-03-16,21:27:32,70.0
2024-03-16,21:27:33,69.0
2024-03-16,21:27:34,68.0
2024-03-16,21:27:35,69.0
2024-03-16,21:27:36,71.0
2024-03-16,21:27:37,69.0
2024-03-16,21:27:38,67.0
2024-03-16,21:27:38,68.0
2024-03-16,21:27:39,71.0
2024-03-16,21:27:41,70.0
2024-03-16,21:27:43,71.0
2024-03-16,21:27:45,73.0
2024-03-16,21:27:46,75.0
2024-03-16,21:27:47,73.0
2024-03-16,21:27:48,72.0
2024-03-16,21:27:49,75.0
2024-03-16,21:27:50,77.0
2024-03-16,21:27:50,78.0
2024-03-16,21:27:52,79.0
2024-03-16,21:27:53,83.0
2024-03-16,21:27:53,93.0
2024-03-16,21:27:54,96.0
2024-03-16,21:27:55,97.0
2024-03-16,21:27:55,95.0
2024-03-16,21:27:57,94.0
2024-03-16,21:27:58,93.0
2024-03-16,21:27:58,92.0
2024-03-16,21:27:59,91.0
2024-03-16,21:28:00,88.0
2024-03-16,21:28:00,82.0
2024-03-16,21:28:01,81.0
2024-03-16,21:28:03,82.0
2024-03-16,21:28:03,81.0
2024-03-16,21:28:04,79.0
2024-03-16,21:28:05,77.0
2024-03-16,21:28:06,78.0
2024-03-16,21:28:07,75.0
2024-03-16,21:28:08,74.0
2024-03-16,21:28:10,75.0
2024-03-16,21:28:11,74.0
2024-03-16,21:28:13,77.0
2024-03-16,21:28:14,73.0
2024-03-16,21:28:15,75.0
2024-03-16,21:28:16,74.0
2024-03-16,21:28:18,72.0
2024-03-16,21:28:19,69.0
2024-03-16,21:28:20,68.0
2024-03-16,21:28:21,70.0
2024-03-16,21:28:22,69.0
2024-03-16,21:28:23,71.0
2024-03-16,21:28:23,70.0
2024-03-16,21:28:24,71.0
2024-03-16,21:28:26,69.0
2024-03-16,21:28:27,68.0
2024-03-16,21:28:28,69.0
2024-03-16,21:28:30,68.0
2024-03-16,21:28:32,69.0
2024-03-16,21:28:34,68.0
2024-03-16,21:28:34,71.0
2024-03-16,21:28:35,73.0
2024-03-16,21:28:36,72.0
2024-03-16,21:28:38,74.0
2024-03-16,21:28:38,76.0
2024-03-16,21:28:39,78.0
2024-03-16,21:28:40,79.0
2024-03-16,21:28:40,81.0
2024-03-16,21:28:41,84.0
2024-03-16,21:28:43,81.0
2024-03-16,21:28:45,80.0
2024-03-16,21:28:46,77.0
2024-03-16,21:28:47,75.0
2024-03-16,21:28:48,74.0
2024-03-16,21:28:50,77.0
2024-03-16,21:28:51,80.0
2024-03-16,21:28:52,81.0
2024-03-16,21:28:53,80.0
2024-03-16,21:28:54,79.0
2024-03-16,21:28:57,78.0
2024-03-16,21:28:57,77.0
2024-03-16,21:28:58,78.0
2024-03-16,21:28:59,77.0
2024-03-16,21:29:03,76.0
2024-03-16,21:29:04,74.0
2024-03-16,21:29:06,75.0
2024-03-16,21:29:06,77.0
2024-03-16,21:29:07,82.0
2024-03-16,21:29:08,101.0
2024-03-16,21:29:08,125.0
2024-03-16,21:29:09,130.0
2024-03-16,21:29:10,124.0
2024-03-16,21:29:11,117.0
2024-03-16,21:29:11,110.0
2024-03-16,21:29:12,103.0
2024-03-16,21:29:13,96.0
2024-03-16,21:29:14,87.0
2024-03-16,21:29:15,80.0
2024-03-16,21:29:16,74.0
2024-03-16,21:29:16,70.0
2024-03-16,21:29:17,68.0
2024-03-16,21:29:18,69.0
2024-03-16,21:29:19,70.0
2024-03-16,21:29:20,72.0
2024-03-16,21:29:21,75.0
2024-03-16,21:29:22,79.0
2024-03-16,21:29:22,92.0
2024-03-16,21:29:23,94.0
2024-03-16,21:29:23,97.0
2024-03-16,21:29:24,99.0
2024-03-16,21:29:25,95.0
2024-03-16,21:29:26,91.0
2024-03-16,21:29:27,89.0
2024-03-16,21:29:28,87.0
2024-03-16,21:29:29,83.0
2024-03-16,21:29:29,79.0
2024-03-16,21:29:30,74.0
2024-03-16,21:29:31,73.0
2024-03-16,21:29:33,71.0
2024-03-16,21:29:34,73.0
2024-03-16,21:29:35,74.0
2024-03-16,21:29:36,75.0
2024-03-16,21:29:38,74.0
2024-03-16,21:29:40,73.0
2024-03-16,21:29:42,74.0
2024-03-16,21:29:42,75.0
2024-03-16,21:29:44,76.0
2024-03-16,21:29:45,74.0
2024-03-16,21:29:46,75.0
2024-03-16,21:29:48,74.0
2024-03-16,21:29:49,75.0
2024-03-16,21:29:49,76.0
2024-03-16,21:29:50,77.0
2024-03-16,21:29:52,74.0
2024-03-16,21:29:53,76.0
2024-03-16,21:29:55,74.0
2024-03-16,21:29:57,75.0
2024-03-16,21:29:59,74.0
2024-03-16,21:30:01,75.0
2024-03-16,21:30:01,74.0
2024-03-16,21:30:02,73.0
2024-03-16,21:30:03,74.0
2024-03-16,21:30:04,75.0
2024-03-16,21:30:05,77.0
2024-03-16,21:30:06,81.0
2024-03-16,21:30:07,79.0
2024-03-16,21:30:08,78.0
2024-03-16,21:30:10,80.0
2024-03-16,21:30:11,81.0
2024-03-16,21:30:12,80.0
2024-03-16,21:30:13,75.0
2024-03-16,21:30:14,70.0
2024-03-16,21:30:15,71.0
2024-03-16,21:30:16,72.0
2024-03-16,21:30:16,75.0
2024-03-16,21:30:17,76.0
2024-03-16,21:30:18,77.0
2024-03-16,21:30:18,79.0
